requirements; 10; open; R-168: Verkehrsprognose; https://github.com/TIXI24/requirements/issues/10; disposition, nicht dringend, REQUIREMENT, unwichtig
requirements; 9; open; R-143: Daten putzen; https://github.com/TIXI24/requirements/issues/9; nicht dringend, REQUIREMENT, support, wichtig
requirements; 8; open; R-141: Logdateien; https://github.com/TIXI24/requirements/issues/8; nicht dringend, REQUIREMENT, verwaltung, wichtig
requirements; 7; open; R-123: Fahrgast-Fahrten History; https://github.com/TIXI24/requirements/issues/7; bereitstellen, ENHANCEMENT, fahrgast, nicht dringend, wichtig
requirements; 5; open; R-072: Monatsrapport, Einsatzpläne als PDF bereitstellen; https://github.com/TIXI24/requirements/issues/5; bereitstellen, dringend, fahrer-einsatz, P4, REQUIREMENT, wichtig
requirements; 4; open; R-048: Automatisches senden von neue und geänderte Einsatzpläne; https://github.com/TIXI24/requirements/issues/4; fahrer-einsatz, nicht dringend, REQUIREMENT, wichtig
requirements; 3; open; R-093: Favorite Fahrziele; https://github.com/TIXI24/requirements/issues/3; dringend, ENHANCEMENT, fahrgast-auftrag, P3, wichtig
sfitixi; 224; open; Allocate shared ride to vehicle automatically; https://github.com/TIXI24/sfitixi/issues/224; gap, important, P5, urgent
sfitixi; 223; open; Mail code page error; https://github.com/TIXI24/sfitixi/issues/223; bug, non-urgent, unimportant
sfitixi; 222; open; Daily view drag and drop error; https://github.com/TIXI24/sfitixi/issues/222; bug, important, P2, urgent
sfitixi; 221; open; Find custodian drop-down; https://github.com/TIXI24/sfitixi/issues/221; gap, important, P4, urgent
sfitixi; 220; open; Fix custodian mandatory fields; https://github.com/TIXI24/sfitixi/issues/220; gap, important, P4, urgent
sfitixi; 218; open; Redundant views; https://github.com/TIXI24/sfitixi/issues/218; important, non-urgent, risk
sfitixi; 212; open; Protect freezing shift, driving pools & missions; https://github.com/TIXI24/sfitixi/issues/212; important, risk, urgent
sfitixi; 207; open; OVI Comment for Driving Config is missing; https://github.com/TIXI24/sfitixi/issues/207; bug, important, P4, urgent
sfitixi; 206; open; Postal code not persisted properly; https://github.com/TIXI24/sfitixi/issues/206; bug, non-urgent, P4, unimportant
sfitixi; 205; open; Hard to fix "wrong vehicle allocated to driver"; https://github.com/TIXI24/sfitixi/issues/205; gap, important, P5, urgent
sfitixi; 201; open; Extra Minutes not added to ride time; https://github.com/TIXI24/sfitixi/issues/201; bug, important, non-urgent
sfitixi; 200; open; Long-distance doesn't display red box; https://github.com/TIXI24/sfitixi/issues/200; bug, important, P3, urgent
sfitixi; 199; open; Long distance ride, wrong error message for repeated order; https://github.com/TIXI24/sfitixi/issues/199; bug, important, urgent
sfitixi; 198; open; Long distance rides, not tested for overlapping rides with same passenger; https://github.com/TIXI24/sfitixi/issues/198; bug, important, non-urgent, P5
sfitixi; 193; open; Shared ride not recalculated, if participant(s) cancels order(s).; https://github.com/TIXI24/sfitixi/issues/193; gap, important, P2, risk, urgent
sfitixi; 191; open; Restore database function doesn't support MYSQLDUMP files; https://github.com/TIXI24/sfitixi/issues/191; bug, non-urgent, P4, unimportant
